玩家ID,玩家名称,是否参与本次批量模拟,起点模式,获胜次数,总模拟次数 (100000),胜率 (%)
1,洛可可,是,ranked_start,14446,100000,14.45
2,布兰特,是,ranked_start,14434,100000,14.43
3,坎特蕾拉,是,ranked_start,9486,100000,9.49
4,赞妮,是,ranked_start,15512,100000,15.51
5,卡提西亚,是,ranked_start,19198,100000,19.20
6,菲比,是,ranked_start,26924,100000,26.92
7,今汐,否,ranked_start,0,100000,0.00
8,长离,否,ranked_start,0,100000,0.00
9,卡卡罗,否,ranked_start,0,100000,0.00
10,守岸人,否,ranked_start,0,100000,0.00
11,椿,否,ranked_start,0,100000,0.00
12,科莱塔,否,ranked_start,0,100000,0.00
